Sample,Hour,Minute,Sec,Stamp,Quat1,Quat2,Quat3,Quat4,AccX,AccY,AccZ,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,BrazoBlue_1,BrazoBlue_2,BrazoBlue_3,EspaldaBlue_1,EspaldaBlue_2,EspaldaBlue_3
90,16,54,20.105,997.74,0.98371,-0.125156,-0.126886,0.023471,0.27591,-0.24701,-0.948,1.54,2.08,1.53,1.7,1.5,1.14,2.29,1.8,1.51,1.81,-2.21170963995472,4.55984697591046,-0.952729524012976,0.321509497483875,-2.51324686541301,1.05666423754128
91,16,54,20.155,997.8,0.983602,-0.125282,-0.127636,0.023243,0.27649,-0.245,-0.95364,1.54,2.08,1.52,1.7,1.51,1.14,2.29,1.8,1.51,1.81,-2.1532530346028,4.55856885001243,-0.94142785065418,0.338280031385071,-2.49003704740357,1.07399715428775
92,16,54,20.216,997.85,0.983655,-0.124828,-0.127664,0.023276,0.271,-0.23975,-0.9433,1.54,2.08,1.53,1.7,1.5,1.14,2.29,1.8,1.51,1.81,-1.63674936897337,3.65793586339112,-0.777847324343679,0.28426207515717,-2.35114859130951,0.881056813376496
93,16,54,20.264,997.91,0.983653,-0.124505,-0.127966,0.023461,0.27634,-0.23715,-0.9458,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81,-1.88749473938465,4.25813791141804,-0.885210860759295,0.34207785953476,-2.98951644001964,1.03885946075882
94,16,54,20.316,997.96,0.983617,-0.124592,-0.128164,0.023425,0.27908,-0.246,-0.94788,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81,-1.63256492482897,3.62763496455031,-0.691792489343585,0.289359897431294,-2.35312343364373,0.911493374521987
95,16,54,20.369,998.01,0.983618,-0.124345,-0.128404,0.023354,0.27563,-0.2392,-0.94778,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81,-1.21383708657213,2.67097496393546,-0.490927060083378,0.210983837847251,-1.62552181898542,0.696533862884117
96,16,54,20.418,998.08,0.983629,-0.124078,-0.128605,0.023243,0.27396,-0.24127,-0.94592,1.54,2.08,1.53,1.7,1.5,1.14,2.29,1.8,1.51,1.81,-1.34980627151999,2.96332692742658,-0.561796963426162,0.234876258141917,-1.9100628977281,0.789957094963584
97,16,54,20.474,998.13,0.983633,-0.123888,-0.12879,0.023053,0.27509,-0.24002,-0.94952,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.82,-1.69717245219783,3.66804636223157,-0.660471873417117,0.284721163498168,-2.206612772229,1.00151411610292
98,16,54,20.526,998.17,0.983659,-0.123699,-0.128796,0.022913,0.27527,-0.24237,-0.94788,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81,-1.44228203326764,3.04670005606457,-0.539367172429441,0.245704437352246,-1.80520150689769,0.838845383501375
99,16,54,20.583,998.22,0.983669,-0.123413,-0.129003,0.022872,0.27725,-0.23944,-0.94485,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81,-1.6458452618513,3.45796028449454,-0.617018392569728,0.290308189373493,-2.31253716730629,0.945982244747308
100,16,54,20.633,998.28,0.983639,-0.12335,-0.129366,0.022444,0.27728,-0.24164,-0.94788,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81,-1.6844907534117,3.46222365476819,-0.580804221290253,0.289271877654911,-2.31501002540811,0.932695390668221
101,16,54,20.685,998.33,0.983632,-0.123351,-0.129457,0.022198,0.2771,-0.242,-0.9494,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81,-1.39186922824062,2.86151595492846,-0.48439817218477,0.247825585252266,-2.22371143806694,0.742863172171044
102,16,54,20.737,998.38,0.983654,-0.123154,-0.129515,0.022008,0.27667,-0.23813,-0.94913,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.81,1.51,1.81,-2.3318268214166,4.88407955745078,-0.885553895422679,0.441201762956359,-3.72235527347919,1.23666578064462
103,16,54,20.796,998.43,0.983655,-0.123076,-0.129606,0.021866,0.27524,-0.24091,-0.95352,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81,-2.14428543825963,4.89159493411937,-0.836713275569325,0.438327794849969,-3.12022409943322,1.21463379217528
104,16,54,20.845,998.49,0.983716,-0.122856,-0.129374,0.021716,0.27435,-0.24167,-0.94897,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81,-2.09602115509698,5.66290830991974,-0.8719844336238,0.563354273564709,-3.35019541004777,1.31952080678355
105,16,54,20.892,998.54,0.983766,-0.122693,-0.129141,0.021745,0.2728,-0.24088,-0.94626,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.81,1.51,1.81,-1.44233240679843,4.08660107296411,-0.461857491535026,0.45220238016075,-2.3738096487326,0.88246796624756
106,16,54,20.948,998.59,0.983804,-0.122537,-0.129007,0.0217,0.27518,-0.23981,-0.94736,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81,-1.34138637503157,5.65617146840611,-0.453489232255804,0.635835829385897,-3.00128868939793,1.07849689915934
107,16,54,21.005,998.64,0.983852,-0.122373,-0.12879,0.021745,0.27405,-0.23624,-0.94974,1.54,2.08,1.53,1.7,1.5,1.14,2.29,1.8,1.51,1.81,-0.966543295061712,7.56240474639622,-0.351529252663809,0.807162874864815,-3.64945851057364,1.14360290445384
108,16,54,21.054,998.7,0.983913,-0.122012,-0.128641,0.021885,0.26913,-0.23657,-0.9436,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81,-0.384073582287606,9.51712353445714,-0.620661891984833,1.03254737858653,-5.1585385084842,1.1234161844674
109,16,54,21.104,998.76,0.983906,-0.122078,-0.128611,0.022047,0.27588,-0.24008,-0.95395,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81,0.575722108133867,11.2079718455637,-1.05059321760712,1.15755959923433,-5.04612082141379,1.02089681943835
110,16,54,21.168,998.8,0.983918,-0.121973,-0.128611,0.022094,0.27332,-0.23709,-0.95123,1.54,2.08,1.52,1.7,1.5,1.14,2.3,1.8,1.51,1.81,1.09325791086638,8.64411888978876,-1.05920121904701,0.868754260693196,-3.82738276497371,0.553490658135178
111,16,54,21.217,998.86,0.983951,-0.121831,-0.128494,0.022086,0.27014,-0.23871,-0.94473,1.54,2.08,1.52,1.7,1.5,1.14,2.3,1.8,1.51,1.81,1.73653464858062,11.1926323644816,-1.69491861208003,1.07693311242216,-4.61338561629608,0.544333598341114
112,16,54,21.277,998.91,0.983915,-0.122077,-0.128544,0.022034,0.27258,-0.23969,-0.95358,1.54,2.08,1.53,1.7,1.5,1.14,2.3,1.8,1.51,1.81,1.27118098721553,11.278259728456,-1.36848580471385,1.01799420306698,-4.27882209029301,0.35895142478215
113,16,54,21.32,998.97,0.983932,-0.12203,-0.128473,0.021955,0.27542,-0.24088,-0.94812,1.55,2.08,1.52,1.7,1.5,1.14,2.3,1.8,1.51,1.81,2.53149944051361,22.2172654570742,-2.94431819381888,1.91666391171047,-8.39003699793965,0.434322779223346
114,16,54,21.379,999.01,0.983918,-0.122051,-0.128586,0.021783,0.27014,-0.23825,-0.94373,1.55,2.08,1.52,1.7,1.5,1.13,2.3,1.8,1.51,1.81,3.17867472065208,24.0143323894985,-3.77558514233019,2.0005340163775,-8.43703161487591,0.225275167039153
115,16,54,21.428,999.07,0.983866,-0.12226,-0.128843,0.02143,0.27872,-0.24066,-0.95129,1.55,2.08,1.53,1.7,1.5,1.14,2.3,1.8,1.51,1.81,3.50829132572384,28.3247083336808,-4.6187387671023,2.27976542039529,-10.3690017479553,0.0945908549364197
116,16,54,21.482,999.12,0.983852,-0.122552,-0.128796,0.020695,0.27753,-0.24536,-0.95407,1.55,2.08,1.52,1.7,1.5,1.14,2.3,1.8,1.51,1.81,3.51809598894558,23.5003126205945,-4.58687236862011,1.82589433996422,-8.51223539593974,-0.0264394006947514
117,16,54,21.536,999.17,0.98392,-0.122654,-0.128428,0.019094,0.27527,-0.24353,-0.94739,1.55,2.08,1.52,1.7,1.5,1.14,2.3,1.8,1.51,1.81,2.370507,17.50001,-3.374987,1.285886,-5.767096,-0.085367
118,16,54,21.583,999.23,0.984006,-0.122916,-0.127897,0.016327,0.27161,-0.25708,-0.94733,1.55,2.08,1.52,1.71,1.49,1.14,2.3,1.8,1.51,1.81,3.65077908664994,25.7193249483302,-5.18617758222212,1.781578794613,-7.18588587465205,-0.16686666825441
119,16,54,21.639,999.28,0.984029,-0.123747,-0.127332,0.012661,0.27292,-0.25986,-0.95169,1.55,2.08,1.52,1.7,1.49,1.14,2.3,1.81,1.51,1.81,5.09707843127013,33.4962455550151,-7.22615803428716,2.23189648059313,-8.6894228333596,-0.367068736528201
120,16,54,21.689,999.33,0.98405,-0.125125,-0.126234,0.007382,0.27045,-0.26724,-0.93933,1.55,2.08,1.52,1.7,1.49,1.14,2.3,1.8,1.51,1.81,5.46774104542303,35.9362395624369,-7.70255393575285,2.2806369071378,-9.80361774637889,-0.584520753243288
