Movement,Kind,Units,BatchSize,Epochs,mae,acc,Time,FileName,Network
all,FlexSvsShoulderAng,9,32,300,0.19529881232056664,46.01339013998783,468.860817193985,ANN_32_300allFlexSvsShoulderAng,ANN
all,FlexSIMUqvsShoulderAng,11,32,300,0.07756093541055549,60.113613308987624,487.88690543174744,ANN_32_300allFlexSIMUqvsShoulderAng,ANN
all,IMUqvsShoulderAng,4,32,300,0.06927698323090098,55.203895313451,465.72563791275024,ANN_32_300allIMUqvsShoulderAng,ANN
all,PCAvsShoulder,5,32,300,0.07559184242870533,61.7366605802394,486.78684258461,ANN_32_300allPCAvsShoulder,ANN
all,FlexSvsIMUq,10,32,300,0.3954675374153928,30.574152972205315,476.7212669849396,ANN_32_300allFlexSvsIMUq,ANN
all,PCAvsIMUq,5,32,300,0.06379106308268011,66.13917630350984,494.5562870502472,ANN_32_300allPCAvsIMUq,ANN
combo,FlexSvsShoulderAng,9,32,300,0.06384882396704016,87.6971608456753,134.1916754245758,ANN_32_300comboFlexSvsShoulderAng,ANN
combo,FlexSIMUqvsShoulderAng,11,32,300,0.07306207161784548,86.67192432782628,140.25002193450928,ANN_32_300comboFlexSIMUqvsShoulderAng,ANN
combo,IMUqvsShoulderAng,4,32,300,0.08490338742921029,81.54574132492114,134.44368958473206,ANN_32_300comboIMUqvsShoulderAng,ANN
combo,PCAvsShoulder,5,32,300,0.06539660654609512,82.88643535003301,139.9940071105957,ANN_32_300comboPCAvsShoulder,ANN
combo,FlexSvsIMUq,10,32,300,0.06576543212030965,80.12618300290514,136.75082182884216,ANN_32_300comboFlexSvsIMUq,ANN
combo,PCAvsIMUq,5,32,300,0.059126466994499936,80.44164034094344,140.6000418663025,ANN_32_300comboPCAvsIMUq,ANN
cruzext,FlexSvsShoulderAng,9,32,300,0.05432524870742451,87.64568770126307,98.73564720153809,ANN_32_300cruzextFlexSvsShoulderAng,ANN
cruzext,FlexSIMUqvsShoulderAng,11,32,300,0.04987634705392631,87.64568759011222,102.46186065673828,ANN_32_300cruzextFlexSIMUqvsShoulderAng,ANN
cruzext,IMUqvsShoulderAng,4,32,300,0.06240118835077975,85.431235472917,98.73064708709717,ANN_32_300cruzextIMUqvsShoulderAng,ANN
cruzext,PCAvsShoulder,5,32,300,0.06273548619383143,86.7132867549683,101.57680988311768,ANN_32_300cruzextPCAvsShoulder,ANN
cruzext,FlexSvsIMUq,10,32,300,0.05970594423252108,74.70862466694314,100.22873282432556,ANN_32_300cruzextFlexSvsIMUq,ANN
cruzext,PCAvsIMUq,5,32,300,0.07678471158295523,69.580419635995,102.05483722686768,ANN_32_300cruzextPCAvsIMUq,ANN
cruzint,FlexSvsShoulderAng,9,32,300,0.13082946149008085,53.86702849389417,89.10409665107727,ANN_32_300cruzintFlexSvsShoulderAng,ANN
cruzint,FlexSIMUqvsShoulderAng,11,32,300,0.1570320293266867,49.93215739484396,91.06620836257935,ANN_32_300cruzintFlexSIMUqvsShoulderAng,ANN
cruzint,IMUqvsShoulderAng,4,32,300,0.10305367764009711,53.18860244233379,89.12409782409668,ANN_32_300cruzintIMUqvsShoulderAng,ANN
cruzint,PCAvsShoulder,5,32,300,0.07711905096449069,61.73677069199457,91.50123357772827,ANN_32_300cruzintPCAvsShoulder,ANN
cruzint,FlexSvsIMUq,10,32,300,0.24723133113199852,41.65535956580732,90.59918212890625,ANN_32_300cruzintFlexSvsIMUq,ANN
cruzint,PCAvsIMUq,5,32,300,0.0958471392841158,57.12347354138399,92.08026671409607,ANN_32_300cruzintPCAvsIMUq,ANN
elefront,FlexSvsShoulderAng,9,32,300,0.08913557422677364,73.85826777285477,80.93262934684753,ANN_32_300elefrontFlexSvsShoulderAng,ANN
elefront,FlexSIMUqvsShoulderAng,11,32,300,0.022987630623062763,93.38582677165354,82.7887351512909,ANN_32_300elefrontFlexSIMUqvsShoulderAng,ANN
elefront,IMUqvsShoulderAng,4,32,300,0.05456561494295991,70.86614175105657,81.64767003059387,ANN_32_300elefrontIMUqvsShoulderAng,ANN
elefront,PCAvsShoulder,5,32,300,0.13491384140619142,54.64566921624612,82.87273979187012,ANN_32_300elefrontPCAvsShoulder,ANN
elefront,FlexSvsIMUq,10,32,300,0.081017753129869,69.13385838035524,82.14969873428345,ANN_32_300elefrontFlexSvsIMUq,ANN
elefront,PCAvsIMUq,5,32,300,0.08454809858808367,62.51968496427761,82.74773263931274,ANN_32_300elefrontPCAvsIMUq,ANN
lateral,FlexSvsShoulderAng,9,32,300,0.15684916982885266,64.69945357471217,112.47343325614929,ANN_32_300lateralFlexSvsShoulderAng,ANN
lateral,FlexSIMUqvsShoulderAng,11,32,300,0.1490699830602427,63.71584700104969,114.3095383644104,ANN_32_300lateralFlexSIMUqvsShoulderAng,ANN
lateral,IMUqvsShoulderAng,4,32,300,0.1664964904224938,52.45901634132927,112.60744071006775,ANN_32_300lateralIMUqvsShoulderAng,ANN
lateral,PCAvsShoulder,5,32,300,0.153661646706159,67.3224044106697,113.95551776885986,ANN_32_300lateralPCAvsShoulder,ANN
lateral,FlexSvsIMUq,10,32,300,0.13065274949770808,47.86885244924514,113.86451292037964,ANN_32_300lateralFlexSvsIMUq,ANN
lateral,PCAvsIMUq,5,32,300,0.09429592766234132,67.10382508449867,115.2135899066925,ANN_32_300lateralPCAvsIMUq,ANN
rotz,FlexSvsShoulderAng,9,32,300,0.0416162987617222,83.78378378378379,71.57809400558472,ANN_32_300rotzFlexSvsShoulderAng,ANN
rotz,FlexSIMUqvsShoulderAng,11,32,300,0.029217676939191046,85.32818532818533,72.54014921188354,ANN_32_300rotzFlexSIMUqvsShoulderAng,ANN
rotz,IMUqvsShoulderAng,4,32,300,0.10578819643346499,55.79150581451917,71.96011590957642,ANN_32_300rotzIMUqvsShoulderAng,ANN
rotz,PCAvsShoulder,5,32,300,0.04975969357322542,71.81467181467181,72.74816107749939,ANN_32_300rotzPCAvsShoulder,ANN
rotz,FlexSvsIMUq,10,32,300,0.06771598267279076,82.43243245544582,72.85316705703735,ANN_32_300rotzFlexSvsIMUq,ANN
rotz,PCAvsIMUq,5,32,300,0.08518533149741331,71.42857142857143,73.21918797492981,ANN_32_300rotzPCAvsIMUq,ANN
