Movement,Kind,Units,BatchSize,Epochs,mae,acc,Time,FileName,Network
all,FlexSvsShoulderAng,32,32,300,0.004088873415661322,0.0,3696.58643245697,RNN_32_300allFlexSvsShoulderAng,RNN
all,FlexSIMUqvsShoulderAng,32,32,300,0.005584705032827859,0.0,4537.216513633728,RNN_32_300allFlexSIMUqvsShoulderAng,RNN
all,IMUqvsShoulderAng,32,32,300,0.001229716183449275,0.0,1457.6473727226257,RNN_32_300allIMUqvsShoulderAng,RNN
all,PCAvsShoulder,32,32,300,0.0035353868744788922,0.0,1849.4807841777802,RNN_32_300allPCAvsShoulder,RNN
all,FlexSvsIMUq,32,32,300,0.0032555625878658723,0.0,3924.701480150223,RNN_32_300allFlexSvsIMUq,RNN
all,PCAvsIMUq,32,32,300,0.0028909923782683943,0.0,2084.752240896225,RNN_32_300allPCAvsIMUq,RNN
combo,FlexSvsShoulderAng,32,32,300,0.00475919480924081,0.0,987.8225004673004,RNN_32_300comboFlexSvsShoulderAng,RNN
combo,FlexSIMUqvsShoulderAng,32,32,300,0.004339246428439706,0.0,1219.772766828537,RNN_32_300comboFlexSIMUqvsShoulderAng,RNN
combo,IMUqvsShoulderAng,32,32,300,0.0023269927912981285,0.0,407.70531940460205,RNN_32_300comboIMUqvsShoulderAng,RNN
combo,PCAvsShoulder,32,32,300,0.00357508127295804,0.0,518.182638168335,RNN_32_300comboPCAvsShoulder,RNN
combo,FlexSvsIMUq,32,32,300,0.007946640308202415,0.0,1058.7055542469025,RNN_32_300comboFlexSvsIMUq,RNN
combo,PCAvsIMUq,32,32,300,0.003401237001405382,0.0,578.562091588974,RNN_32_300comboPCAvsIMUq,RNN
cruzext,FlexSvsShoulderAng,32,32,300,0.006242044240865008,0.0,699.3670015335083,RNN_32_300cruzextFlexSvsShoulderAng,RNN
cruzext,FlexSIMUqvsShoulderAng,32,32,300,0.007588237687785414,0.0,850.9296705722809,RNN_32_300cruzextFlexSIMUqvsShoulderAng,RNN
cruzext,IMUqvsShoulderAng,32,32,300,0.002214382478279969,0.0,295.78691816329956,RNN_32_300cruzextIMUqvsShoulderAng,RNN
cruzext,PCAvsShoulder,32,32,300,0.004695514913589235,0.0,372.7193183898926,RNN_32_300cruzextPCAvsShoulder,RNN
cruzext,FlexSvsIMUq,32,32,300,0.005827820917217895,0.0,753.6471061706543,RNN_32_300cruzextFlexSvsIMUq,RNN
cruzext,PCAvsIMUq,32,32,300,0.004534158524375615,0.0,417.84289932250977,RNN_32_300cruzextPCAvsIMUq,RNN
cruzint,FlexSvsShoulderAng,32,32,300,0.00899595775150971,0.0,626.5688376426697,RNN_32_300cruzintFlexSvsShoulderAng,RNN
